,words,nots
0,pertinet,semi-deponent
1,pars,masculine
2,omnis,plural
3,omnēs,genitive
4,eōrum,feminine
5,quae,noun
6,trēs,neuter
7,Germānīs,nominative
8,eam,neuter
9,occāsum,plural
10,sē,1st person
11,virtūte,neuter
12,atque,adjective
13,dē,pronoun
14,occāsum,relative
15,animōs,feminine
16,appellantur,2nd person
17,quibus,genitive
18,Hispāniam,plural
19,quā,demonstrative
20,inter,adverb
21,atque,pronoun
22,in,conjunction
23,causā,dative
24,Celtae,ablative
25,hī,nominative
26,sunt,perfect
27,contendunt,subjunctive
28,capit,future perfect
29,fortissimī,feminine
30,ā,noun
31,tertiam,superlative
32,Belgārum,dative
33,etiam,pronoun
34,prohibent,future
35,Germānīs,accusative
36,dīvidit,deponent
37,flūmine,genitive
38,circum,pronoun
39,longissimē,adjective
40,mercātōrēs,neuter
41,Celtae,accusative
42,tertiam,comparative
43,dīvīsa,masculine
44,prōvinciae,accusative
45,virtūte,nominative
46,quī,feminine
47,pars,plural
48,-que,pronoun
49,capit,1st person
50,ā,adjective
51,minimē,adjective
52,causā,masculine
53,ad,pronoun
54,ipsōrum,singular
55,ipsōrum,reflexive
56,tertiam,genitive
57,Belgārum,singular
58,omnēs,singular
59,sōlem,nominative
60,sunt,singular
61,ab,noun
62,partem,plural
63,eōs,singular
64,prohibent,indicative
65,contendunt,singular
66,lēgātōs,plural
67,contendunt,pluperfect
68,flūmine,masculine
69,partēs,singular
70,quae,ablative
71,flūmen,ablative
72,proximī,feminine
73,sōlis,accusative
74,omnis,accusative
75,spectant,singular
76,trāns,conjunction
77,gerunt,perfect
78,Celtae,neuter
79,hōrum,interrogative
80,ab,adjective
81,flūmine,accusative
82,linguā,dative
83,dē,preposition w/ acc.
84,quae,dative
85,suīs,1st person
86,capit,imperative
87,reliquōs,neuter
88,eōrum,singular
89,trāns,preposition w/ abl.
90,ipsī,noun
91,prohibent,imperative
92,quod,noun
93,quibus,singular
94,spectat,imperative
95,contendunt,perfect
96,minimē,positive
97,quae,demonstrative
98,Gallia,accusative
99,hī,neuter
100,ab,pronoun
101,prohibent,2nd person
102,Hispāniam,masculine
103,hōrum,singular
104,fīnibus,accusative
105,-que,conjunction
106,capit,deponent
107,et,pronoun
108,prohibent,passive
109,hī,singular
110,reliquōs,feminine
111,incolunt,subjunctive
112,flūmen,dative
113,Belgae,ablative
114,cum,preposition w/ acc.
115,oriuntur,future
116,linguā,masculine
117,gerunt,pluperfect
118,spectant,passive
119,pertinet,passive
120,hī,genitive
121,eam,2nd person
122,reliquōs,genitive
123,aliam,superlative
124,hōrum,feminine
125,flūmen,plural
126,eōrum,2nd person
127,eam,nominative
128,pars,neuter
129,cum,adjective
130,partēs,dative
131,eam,1st person
132,suīs,2nd person
133,longissimē,positive
134,bellum,singular
135,quod,ablative
136,Galliae,accusative
137,animōs,dative
138,mercātōrēs,dative
139,cotīdiānīs,positive
140,reliquōs,comparative
141,pertinet,deponent
142,occāsum,nominative
143,eōs,1st person
144,cotīdiānīs,singular
145,eam,plural
146,quā,genitive
147,hī,indefinite
148,suīs,2nd person
149,absunt,perfect
150,sōlis,plural
151,prohibent,1st person
152,appellantur,singular
153,ad,adverb
154,sōlem,feminine
155,quod,genitive
156,Gallia,plural
157,partēs,masculine
158,animōs,singular
159,-que,adjective
160,Belgīs,singular
161,dīvidit,future perfect
162,fīnibus,singular
163,hōrum,relative
164,Galliae,nominative
165,virtūte,plural
166,incolunt,present
167,continenter,deponent
168,quā,noun
169,contendunt,future perfect
170,partem,neuter
171,est,plural
172,ad,conjunction
173,et,adjective
174,Belgārum,feminine
175,proximī,accusative
176,dē,adverb
177,quam,plural
178,oriuntur,indicative
179,aliam,plural
180,contendunt,imperative
181,sunt,1st person
182,Hispāniam,neuter
183,occāsum,feminine
184,ipsī,genitive
185,initium,plural
186,absunt,future perfect
187,ea,1st person
188,sē,genitive
189,ad,preposition w/ abl.
190,est,1st person
191,ūnam,plural
192,dē,conjunction
193,initium,ablative
194,quam,reflexive
195,ā,pronoun
196,aliam,demonstrative
197,omnēs,neuter
198,flūmine,feminine
199,montēs,genitive
200,capit,plural
201,gerunt,semi-deponent
202,pertinet,perfect
203,sunt,future perfect
204,tertiam,dative
205,fortissimī,superlative
206,rēgnō,ablative
207,dictum est,plural
208,Germānīs,singular
209,dīvīsa,feminine
210,quod,dative
211,bellum,plural
212,spectant,perfect
213,sē,relative
214,occāsum,neuter
215,prōvinciae,ablative
216,suīs,accusative
217,linguā,plural
218,ūna,positive
219,ea,masculine
220,quī,interrogati
221,pertinent,subjunctive
222,inter,pronoun
223,flūminis,feminine
224,partem,genitive
225,spectat,subjunctive
226,fortissimī,comparative
227,omnis,comparative
228,prohibent,singular
229,aliam,genitive
230,quae,masculine
231,spectat,1st person
232,tertiam,neuter
233,linguā,accusative
234,omnium,nominative
235,eōrum,possessive
236,suīs,genitive
237,dīvīsa,genitive
238,ipsōrum,feminine
239,animōs,genitive
240,continētur,active
241,in,adverb
242,linguā,nominative
243,trāns,adverb
244,initium,dative
245,tertiam,plural
246,montēs,feminine
247,dīvīsa,gerund
248,obtinēre,semi-deponent
249,dīvidit,passive
250,lēgibus,plural
251,spectant,deponent
252,est,future perfect
253,flūmen,masculine
254,trēs,dative
255,obtinēre,gerund
256,mercātōrēs,masculine
257,dē,adjective
258,fīnibus,neuter
259,eōs,nominative
260,flūminis,plural
261,Belgae,accusative
262,inter,preposition w/ abl.
263,lēgibus,accusative
264,ūnam,neuter
265,fortissimī,accusative
266,dictum est,imperative
267,Belgīs,accusative
268,gerunt,imperative
269,Galliae,plural
270,montēs,neuter
271,proeliīs,singular
272,prohibent,subjunctive
273,incolunt,singular
274,contendunt,passive
275,proeliīs,feminine
276,fīnibus,masculine
277,eam,indefinite
278,capit,2nd person
279,omnium,genitive
280,Celtae,genitive
281,quī,reflexive
282,minimē,comparative
283,tertiam,masculine
284,bellum,feminine
285,absunt,3rd person
286,sōlis,feminine
287,bellum,genitive
288,oriuntur,singular
289,continētur,2nd person
290,et,adjective
291,Belgīs,singular
292,bellum,plural
293,Belgae,ablative
294,Belgae,ablative
295,minimē,adjective
296,atque,adjective
297,partēs,singular
298,partēs,singular
299,spectat,subjunctive
300,trāns,conjunction
301,occāsum,neuter
302,fīnibus,singular
303,absunt,future perfect
304,omnis,plural
305,dictum est,imperative
306,dictum est,imperative
307,dictum est,imperative
308,bellum,genitive
309,bellum,genitive
310,fīnibus,singular
311,Hispāniam,plural
312,cum,preposition w/ acc.
313,Gallia,plural
314,atque,adjective
315,atque,adjective
316,Belgae,accusative
317,sōlem,feminine
318,inter,pronoun
319,spectat,passive
320,Germānīs,comparative
321,reliquōs,dative
322,orientem,comparative
323,quī,neuter
324,omnium,singular
325,in,prepositin w/ abl.
326,absunt,present
327,prōvinciae,dative
328,appellantur,future perfect
329,continētur,indicative
330,ūna,ordinal
331,proeliīs,dative
332,quam,ablative
333,flūmine,neuter
334,suīs,ablative
335,causā,genitive
336,quae,nominative
337,eōs,relative
338,dictum est,active
339,appellantur,active
340,quārum,noun
341,incolunt,indicative
342,partem,masculine
343,omnium,accusative
344,oriuntur,2nd person
345,quī,relative
346,quī,genitive
347,ā,conjunction
348,pertinent,active
349,ea,3rd person
350,oriuntur,imperfect
351,obtinēre,subjunctive
352,quod,demonstrative
353,trēs,nominative
354,proximī,comparative
355,flūmine,plural
356,trēs,cardinal
357,suīs,nominative
358,Germānīs,dative
359,appellantur,semi-deponent
360,spectat,pluperfect
361,quī,demonstrative
362,Germānīs,ablative
363,quī,interrogative
364,ipsōrum,noun
365,capit,3rd person
366,capit,subjunctive
367,suīs,superlative
368,oriuntur,subjunctive
369,continētur,future
370,hī,accusative
371,suīs,demonstrative
372,animōs,nominative
373,ūnam,ordinal
374,sē,2nd person
375,contendunt,active
376,mercātōrēs,nominative
377,Belgīs,neuter
378,vīcīs,dative
379,cum,pronoun
380,obtinēre,indicative
381,sunt,imperfect
382,fortissimī,dative
383,proeliīs,ablative
384,eōs,2nd person
385,obtinēre,plural
386,cum,adverb
387,est,imperative
388,flūmen,neuter
389,Belgīs,nominative
390,ūnam,feminine
391,lēgibus,dative
392,eōrum,interrogative
393,causā,neuter
394,sē,3rd person
395,ea,indefinite
396,quam,adjective
397,Belgīs,genitive
398,montēs,singular
399,pars,accusative
400,animōs,neuter
401,Belgārum,nominative
402,spectant,1st person
403,proeliīs,accusative
404,pertinent,not deponent
405,flūmen,nominative
406,quae,pronoun
407,oriuntur,present
408,absunt,plural
409,Belgārum,genitive
410,ipsī,dative
411,quī,noun
412,pertinet,subjunctive
413,continenter,participle
414,ipsōrum,dative
415,contendunt,future
416,dictum est,masculine
417,spectant,semi-deponent
418,sōlem,neuter
419,pertinet,imperative
420,eōs,genitive
421,cotīdiānīs,superlative
422,gerunt,active
423,eam,masculine
424,quī,accusative
425,dīvīsa,passive
426,Belgārum,neuter
427,capit,active
428,ab,preposition w/ acc.
429,orientem,plural
430,flūmen,genitive
431,condūxit,subjunctive
432,quam,noun
433,dīvīsa,semi-deponent
434,Germānīs,superlative
435,pars,genitive
436,initium,masculine
437,pertinet,1st person
438,dictum est,singular
439,tertiam,feminine
440,bellum,accusative
441,appellantur,indicative
442,longissimē,comparative
443,trāns,pronoun
444,appellantur,imperative
445,sōlem,plural
446,ūnam,demonstrative
447,virtūte,genitive
448,ipsī,accusative
449,manet,3rd person
450,gerunt,imperfect
451,contendunt,3rd person
452,absunt,subjunctive
453,ūna,neuter
454,prohibent,semi-deponent
455,dīvīsa,ablative
456,sunt,future
457,eōrum,3rd person
458,pertinent,future perfect
459,pertinent,singular
460,pertinent,imperfect
461,ea,ablative
462,causā,accusative
463,sunt,imperative
464,prohibent,pluperfect
465,proximī,positive
466,gerunt,singular
467,quibus,relative
468,orientem,positive
469,fortissimī,positive
470,pertinent,imperative
471,prōvinciae,neuter
472,ūna,ablative
473,orientem,not deponent
474,eam,feminine
475,proximī,ablative
476,ā,adverb
477,dictum est,deponent
478,quā,reflexive
