,words,descriptions
0,ipsī,intensive
1,pertinent,plural
2,ea,feminine
3,prohibent,3rd person
4,partēs,nominative
5,ūnam,cardinal
6,reliquōs,positive
7,cum,conjunction
8,suīs,plural
9,dē,preposition w/ abl.
10,prōvinciae,feminine
11,obtinēre,present
12,eōrum,plural
13,et,conjunction
14,prōvinciae,genitive
15,capit,indicative
16,incolunt,active
17,pertinet,active
18,hōrum,demonstrative
19,prōvinciae,nominative
20,partem,feminine
21,inter,preposition w/ acc.
22,Belgae,nominative
23,suīs,dative
24,ipsī,noun
25,incolunt,not deponent
26,ad,preposition w/ acc.
27,initium,singular
28,fortissimī,nominative
29,Belgīs,masculine
30,proximī,neuter
31,quārum,feminine
32,partēs,plural
33,trāns,preposition w/ acc.
34,Belgārum,masculine
35,quā,feminine
36,quī,relative
37,hōrum,plural
38,aliam,singular
39,sunt,present
40,flūmine,neuter
41,ipsōrum,pronoun
42,Galliae,genitive
43,ūna,positive
44,causā,singular
45,pertinent,present
46,quī,nominative
47,pars,singular
48,in,preposition w/ acc.
49,Germānīs,positive
50,suīs,positive
51,reliquōs,plural
52,eōrum,3rd person
53,cotīdiānīs,ablative
54,pertinent,indicative
55,causā,feminine
56,flūmine,ablative
57,occāsum,accusative
58,ūnam,pronominal
59,flūminis,neuter
60,quod,singular
61,cum,preposition w/ abl.
62,hī,plural
63,omnis,genitive
64,spectat,not deponent
65,spectant,not deponent
66,quod,relative
67,ea,3rd person
68,quam,neuter
69,omnēs,feminine
70,aliam,feminine
71,lēgibus,ablative
72,partem,accusative
73,absunt,present
74,quī,adjective
75,spectat,3rd person
76,quī,masculine
77,mercātōrēs,plural
78,quā,pronoun
79,montēs,accusative
80,atque,conjunction
81,eōs,3rd person
82,contendunt,3rd person
83,spectant,indicative
84,dīvīsa,perfect
85,tertiam,singular
86,sē,accusative
87,ipsōrum,intensive
88,orientem,singular
89,dīvīsa,nominative
90,quam,pronoun
91,capit,1st person
92,capit,3rd person
