,words,descriptions
0,quae,nominative
1,fortissimī,superlative
2,Hispāniam,singular
3,quibus,relative
4,partem,singular
5,continenter,active
6,quā,adjective
7,sunt,indicative
8,Galliae,singular
9,suīs,ablative
10,hī,masculine
11,dīvīsa,positive
12,ipsōrum,adjective
13,incolunt,3rd person
14,est,singular
15,gerunt,3rd person
16,est,indicative
17,sōlis,masculine
18,quā,interrogative
19,dīvidit,active
20,mercātōrēs,accusative
21,minimē,superlative
22,eōs,3rd person
23,continētur,3rd person
24,ipsī,adjective
25,Germānīs,dative
26,quae,accusative
27,proeliīs,dative
28,proximī,genitive
29,ūnam,singular
30,montēs,masculine
31,sē,pronoun
32,flūmine,ablative
33,spectat,singular
34,ipsī,nominative
35,partēs,nominative
36,hōrum,masculine
37,dē,preposition w/ abl.
38,in,preposition w/ abl.
39,longissimē,superlative
40,ab,preposition w/ abl.
41,Belgīs,masculine
42,appellantur,not deponent
43,prōvinciae,nominative
44,trēs,masculine
45,aliam,singular
46,proximī,neuter
47,est,present
48,fortissimī,nominative
49,partem,feminine
50,quae,ablative
51,ipsī,intensive
52,incolunt,indicative
53,quī,relative
54,Belgārum,plural
55,pertinet,singular
56,trēs,plural
57,occāsum,singular
58,orientem,singular
59,hōrum,plural
60,prōvinciae,accusative
61,cotīdiānīs,positive
62,omnēs,feminine
63,quī,nominative
64,hī,plural
65,initium,accusative
66,ad,preposition w/ acc.
67,pertinent,present
68,dictum est,perfect
69,orientem,feminine
70,trāns,preposition w/ acc.
71,pertinent,plural
72,ūnam,positive
73,Hispāniam,accusative
74,in,preposition w/ acc.
75,inter,preposition w/ acc.
76,eōrum,neuter
77,quibus,ablative
78,continenter,participle
79,partēs,accusative
80,quibus,interrogative
81,mercātōrēs,plural
82,Belgārum,masculine
83,est,3rd person
84,Gallia,nominative
85,quae,relative
86,Belgae,genitive
87,continētur,singular
88,eam,singular
89,sunt,3rd person
90,omnēs,nominative
91,mercātōrēs,masculine
92,quārum,pronoun
93,gerunt,plural
94,atque,conjunction
95,sē,ablative
96,virtūte,singular
97,et,conjunction
98,flūminis,neuter
99,bellum,neuter
100,obtinēre,present
101,pertinent,active
102,Celtae,genitive
103,quam,relative
104,fīnibus,dative
105,eōs,plural
106,ūna,feminine
107,quibus,plural
108,etiam,adverb
109,dīvīsa,accusative
110,obtinēre,not deponent
111,causā,ablative
112,virtūte,feminine
113,quae,adjective
114,spectat,not deponent
115,quā,singular
116,oriuntur,present
117,spectant,active
118,cum,preposition w/ abl.
119,sōlem,accusative
120,continētur,not deponent
121,omnium,plural
122,fortissimī,neuter
123,omnēs,positive
124,contendunt,indicative
125,spectant,present
126,Gallia,feminine
127,reliquōs,masculine
128,animōs,accusative
129,flūminis,singular
130,pertinet,active
131,flūmine,singular
132,aliam,feminine
133,Germānīs,ablative
134,pars,nominative
135,continenter,present
136,fīnibus,feminine
137,spectat,3rd person
138,Belgae,dative
139,lēgibus,dative
140,tertiam,masculine
141,cotīdiānīs,plural
142,quārum,feminine
143,montēs,accusative
144,continētur,passive
145,montēs,plural
146,incolunt,active
147,proximī,superlative
148,bellum,nominative
149,omnis,genitive
150,tertiam,singular
151,minimē,adverb
152,prōvinciae,feminine
153,bellum,singular
154,lēgibus,ablative
155,absunt,indicative
156,Celtae,masculine
157,Celtae,dative
158,quārum,interrogative
159,eōrum,3rd person
160,longissimē,adverb
161,Belgīs,ablative
162,continētur,present
163,cotīdiānīs,ablative
164,contendunt,present
165,initium,nominative
166,pertinent,3rd person
167,lēgibus,plural
168,flūmine,neuter
169,flūmen,singular
170,ipsōrum,masculine
171,cum,conjunction
172,quae,neuter
173,aliam,demonstrative
174,prohibent,not deponent
175,ūna,nominative
176,quam,interrogative
177,virtūte,ablative
178,dictum est,neuter
179,Belgīs,plural
180,spectat,indicative
181,pars,singular
182,causā,feminine
183,quī,masculine
184,occāsum,masculine
185,linguā,ablative
186,quā,relative
187,partēs,feminine
188,quā,feminine
189,omnium,genitive
190,ā,preposition w/ abl.
191,cotīdiānīs,dative
192,dictum est,not deponent
193,reliquōs,positive
194,pertinent,not deponent
195,orientem,accusative
196,initium,singular
197,prōvinciae,genitive
198,spectant,indicative
199,omnium,singular
200,fortissimī,masculine
201,quārum,plural
202,fīnibus,plural
203,proeliīs,ablative
204,ea,3rd person
205,eam,3rd person
206,trēs,cardinal
207,Germānīs,positive
208,quod,neuter
209,capit,active
210,pars,feminine
211,suīs,positive
212,ipsōrum,genitive
213,proximī,nominative
214,ipsī,pronoun
215,ipsōrum,intensive
216,tertiam,accusative
217,reliquōs,plural
218,causā,singular
219,trēs,feminine
220,montēs,nominative
221,quibus,dative
222,dictum est,passive
223,oriuntur,deponent
224,Belgae,masculine
225,quā,ablative
226,continētur,indicative
227,eōrum,masculine
228,dīvīsa,passive
229,eam,demonstrative
230,-que,conjunction
231,linguā,singular
232,prohibent,3rd person
233,incolunt,plural
234,obtinēre,imperative
235,incolunt,not deponent
236,aliam,positive
237,flūmen,nominative
238,flūminis,genitive
239,partēs,plural
240,quod,pronoun
241,fīnibus,ablative
242,prohibent,plural
243,eam,feminine
244,Belgae,nominative
245,lēgibus,feminine
246,initium,neuter
247,omnis,positive
248,quī,pronoun
249,sōlem,masculine
250,absunt,plural
251,quam,singular
252,prōvinciae,dative
253,quī,interrogative
254,dīvīsa,not deponent
255,obtinēre,2nd person
256,ea,neuter
257,dictum est,indicative
258,quārum,genitive
259,dīvīsa,perfect
260,proeliīs,neuter
261,capit,indicative
262,eōs,demonstrative
263,proximī,masculine
264,suīs,3rd person
265,eōs,accusative
266,suīs,reflexive
267,dīvidit,singular
268,Galliae,genitive
269,quam,adjective
270,capit,not deponent
271,dictum est,3rd person
272,ūna,positive
273,orientem,masculine
274,fortissimī,genitive
275,eōrum,genitive
276,obtinēre,infinitive
277,quod,relative
278,ea,nominative
279,omnis,singular
280,trēs,nominative
281,bellum,accusative
282,capit,singular
283,spectant,not deponent
284,sōlis,genitive
285,quam,feminine
286,eōs,masculine
287,omnium,positive
288,quārum,adjective
289,ipsī,dative
290,sōlem,singular
291,hī,demonstrative
292,spectant,3rd person
293,sē,accusative
294,Belgīs,dative
295,flūmen,accusative
296,quī,adjective
297,animōs,plural
298,orientem,participle
299,contendunt,not deponent
300,gerunt,indicative
301,contendunt,3rd person
302,pertinet,not deponent
303,illius,active
304,Galliae,feminine
305,prohibent,semi-deponent
306,fortissimī,feminine
307,quā,neuter
308,continenter,perfect
309,dē,preposition w/ acc.
310,Hispāniam,plural
311,mercātōrēs,neuter
312,omnēs,dative
313,trāns,adverb
314,fortissimī,accusative
315,-que,adjective
316,oriuntur,imperative
317,ipsōrum,noun
318,est,imperative
319,flūminis,dative
320,proeliīs,nominative
321,causā,plural
322,trāns,conjunction
323,oriuntur,subjunctive
324,Celtae,feminine
325,occāsum,dative
326,etiam,pronoun
327,pertinet,passive
328,partem,plural
329,occāsum,plural
330,est,plural
331,Belgārum,dative
332,dīvīsa,semi-deponent
333,contendunt,perfect
334,atque,adjective
335,trāns,pronoun
336,Belgārum,singular
337,ūnam,ordinal
338,ea,dative
339,ūnam,neuter
340,Germānīs,singular
341,fortissimī,dative
342,sōlem,feminine
343,quod,dative
344,et,adjective
345,prōvinciae,ablative
346,spectat,deponent
347,Belgīs,accusative
348,absunt,imperfect
349,sē,genitive
350,quam,neuter
351,proximī,feminine
352,cotīdiānīs,accusative
353,spectat,subjunctive
354,est,1st person
355,absunt,semi-deponent
356,obtinēre,1st person
357,Hispāniam,masculine
358,continenter,deponent
359,quae,noun
360,sē,demonstrative
361,tertiam,neuter
362,proximī,comparative
363,quī,noun
364,Gallia,plural
365,absunt,future
366,linguā,plural
367,partēs,ablative
368,ipsī,ablative
369,ea,possessive
370,pertinent,singular
371,sē,adverb
372,et,pronoun
373,continenter,superlative
374,ūna,comparative
375,Belgīs,singular
376,flūmine,dative
377,mercātōrēs,ablative
378,inter,conjunction
379,-que,pronoun
380,sōlem,plural
381,reliquōs,singular
382,ipsī,adverb
383,ab,adjective
384,omnium,superlative
385,quī,reflexive
386,Belgīs,feminine
387,eam,genitive
388,mercātōrēs,singular
389,incolunt,singular
390,fortissimī,positive
391,dīvidit,imperative
392,est,subjunctive
393,mercātōrēs,genitive
394,quibus,singular
395,montēs,ablative
396,capit,future
397,spectant,2nd person
398,incolunt,subjunctive
399,suīs,demonstrative
400,capit,passive
401,Hispāniam,feminine
